,mpg,cylinders,model year,origin,weight discrete,Displacement2,acceleration,horsepower
127,19.0,6,74,1,between 2668 and 3020,between 219 and 257,between 15 and 16,between 99 and 117
128,15.0,6,74,1,between 3020 and 3372,between 219 and 257,between 16 and 17,between 99 and 117
129,31.0,4,74,3,between 1612 and 1964,between 67 and 105,between 18 and 19,between 63 and 81
130,26.0,4,74,1,between 2316 and 2668,between 105 and 143,between 16 and 17,between 63 and 81
131,32.0,4,74,3,between 1612 and 1964,between 67 and 105,between 20 and 21,between 63 and 81
132,25.0,4,74,1,between 2316 and 2668,between 105 and 143,between 16 and 17,between 63 and 81
133,16.0,6,74,1,between 3724 and 4076,between 219 and 257,between 16 and 17,between 99 and 117
134,16.0,6,74,1,between 3372 and 3724,between 257 and 295,between 17 and 18,between 99 and 117
135,18.0,6,74,1,between 3372 and 3724,between 219 and 257,between 16 and 17,between 99 and 117
136,16.0,8,74,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 135 and 153
137,13.0,8,74,1,between 4428 and 4780,between 333 and 371,between 14 and 15,between 135 and 153
138,14.0,8,74,1,between 4428 and 4780,between 295 and 333,between 13 and 14,between 135 and 153
139,14.0,8,74,1,between 4428 and 4780,between 295 and 333,between 15 and 16,between 135 and 153
140,14.0,8,74,1,between 4076 and 4428,between 295 and 333,between 15 and 16,between 135 and 153
141,29.0,4,74,2,between 1964 and 2316,between 67 and 105,between 16 and 17,between 81 and 99
142,26.0,4,74,2,between 1612 and 1964,between 67 and 105,between 15 and 16,between 63 and 81
143,26.0,4,74,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
144,31.0,4,74,3,between 1612 and 1964,between 67 and 105,between 16 and 17,between 45 and 63
145,32.0,4,74,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 45 and 63
146,28.0,4,74,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
147,24.0,4,74,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
148,26.0,4,74,2,between 1964 and 2316,between 105 and 143,between 13 and 14,between 63 and 81
149,24.0,4,74,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
150,26.0,4,74,3,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
151,31.0,4,74,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
152,19.0,6,75,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 81 and 99
153,18.0,6,75,1,between 3372 and 3724,between 219 and 257,between 15 and 16,between 99 and 117
154,15.0,6,75,1,between 3372 and 3724,between 219 and 257,between 20 and 21,between 63 and 81
155,15.0,6,75,1,between 3020 and 3372,between 219 and 257,between 19 and 20,between 63 and 81
156,16.0,8,75,1,between 4428 and 4780,between 371 and 409,between 11 and 12,between 153 and 171
157,15.0,8,75,1,between 4428 and 4780,between 333 and 371,between 13 and 14,between 135 and 153
158,16.0,8,75,1,between 4428 and 4780,between 295 and 333,between 14 and 15,between 135 and 153
159,14.0,8,75,1,between 4428 and 4780,between 333 and 371,between 13 and 14,between 135 and 153
160,17.0,6,75,1,between 3724 and 4076,between 219 and 257,between 20 and 21,between 99 and 117
161,16.0,6,75,1,between 3724 and 4076,between 219 and 257,between 18 and 19,between 99 and 117
162,15.0,6,75,1,between 3724 and 4076,between 257 and 295,between 18 and 19,between 99 and 117
163,18.0,6,75,1,between 3724 and 4076,between 219 and 257,between 18 and 19,between 81 and 99
164,21.0,6,75,1,between 3020 and 3372,between 219 and 257,between 14 and 15,between 99 and 117
165,20.0,8,75,1,between 3020 and 3372,between 257 and 295,between 13 and 14,between 99 and 117
166,13.0,8,75,1,between 3020 and 3372,between 295 and 333,between 11 and 12,between 117 and 135
167,29.0,4,75,3,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
168,23.0,4,75,1,between 2316 and 2668,between 105 and 143,between 16 and 17,between 81 and 99
169,20.0,6,75,1,between 2668 and 3020,between 219 and 257,between 15 and 16,between 99 and 117
170,23.0,4,75,1,between 2316 and 2668,between 105 and 143,between 18 and 19,between 63 and 81
171,24.0,4,75,3,between 2668 and 3020,between 105 and 143,between 13 and 14,between 81 and 99
172,25.0,4,75,2,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
173,24.0,4,75,3,between 2316 and 2668,between 105 and 143,between 16 and 17,between 81 and 99
174,18.0,6,75,1,between 2668 and 3020,between 143 and 181,between 14 and 15,between 81 and 99
175,29.0,4,75,2,between 1612 and 1964,between 67 and 105,between 13 and 14,between 63 and 81
176,19.0,6,75,1,between 3020 and 3372,between 219 and 257,between 16 and 17,between 81 and 99
177,23.0,4,75,2,between 2668 and 3020,between 105 and 143,between 14 and 15,between 81 and 99
178,23.0,4,75,2,between 2668 and 3020,between 105 and 143,between 16 and 17,between 81 and 99
179,22.0,4,75,2,between 2668 and 3020,between 105 and 143,between 14 and 15,between 81 and 99
180,25.0,4,75,2,between 2668 and 3020,between 105 and 143,between 13 and 14,between 99 and 117
181,33.0,4,75,3,between 1612 and 1964,between 67 and 105,between 17 and 18,between 45 and 63
182,28.0,4,76,2,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
183,25.0,4,76,2,between 1964 and 2316,between 105 and 143,between 16 and 17,between 63 and 81
184,25.0,4,76,1,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
185,26.0,4,76,1,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
186,27.0,4,76,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 81 and 99
187,17.5,8,76,1,between 4076 and 4428,between 295 and 333,between 12 and 13,between 135 and 153
188,16.0,8,76,1,between 4076 and 4428,between 295 and 333,between 12 and 13,between 135 and 153
189,15.5,8,76,1,between 3724 and 4076,between 295 and 333,between 13 and 14,between 117 and 135
190,14.5,8,76,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 135 and 153
191,22.0,6,76,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 99 and 117
192,22.0,6,76,1,between 3020 and 3372,between 219 and 257,between 14 and 15,between 99 and 117
193,24.0,6,76,1,between 2668 and 3020,between 181 and 219,between 17 and 18,between 63 and 81
194,22.5,6,76,1,between 3020 and 3372,between 219 and 257,between 17 and 18,between 81 and 99
195,29.0,4,76,1,between 1964 and 2316,between 67 and 105,between 22 and 23,between 45 and 63
196,24.5,4,76,1,between 1964 and 2316,between 67 and 105,between 22 and 23,between 45 and 63
197,29.0,4,76,2,between 1612 and 1964,between 67 and 105,between 14 and 15,between 63 and 81
198,33.0,4,76,3,between 1612 and 1964,between 67 and 105,between 17 and 18,between 45 and 63
199,20.0,6,76,1,between 3372 and 3724,between 219 and 257,between 17 and 18,between 99 and 117
200,18.0,6,76,1,between 3372 and 3724,between 219 and 257,between 20 and 21,between 63 and 81
201,18.5,6,76,1,between 3372 and 3724,between 219 and 257,between 16 and 17,between 99 and 117
202,17.5,6,76,1,between 3020 and 3372,between 257 and 295,between 17 and 18,between 81 and 99
203,29.5,4,76,2,between 1612 and 1964,between 67 and 105,between 12 and 13,between 63 and 81
204,32.0,4,76,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
205,28.0,4,76,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
206,26.5,4,76,1,between 2316 and 2668,between 105 and 143,between 13 and 14,between 63 and 81
207,20.0,4,76,2,between 3020 and 3372,between 105 and 143,between 15 and 16,between 99 and 117
208,13.0,8,76,1,between 3724 and 4076,between 295 and 333,between 13 and 14,between 135 and 153
209,19.0,4,76,2,between 3020 and 3372,between 105 and 143,between 21 and 22,between 81 and 99
210,19.0,6,76,3,between 2668 and 3020,between 143 and 181,between 15 and 16,between 99 and 117
211,16.5,6,76,2,between 3724 and 4076,between 143 and 181,between 16 and 17,between 117 and 135
212,16.5,8,76,1,between 4076 and 4428,between 333 and 371,between 12 and 13,between 171 and 189
213,13.0,8,76,1,between 3724 and 4076,between 333 and 371,between 11 and 12,between 135 and 153
214,13.0,8,76,1,between 3724 and 4076,between 295 and 333,between 14 and 15,between 117 and 135
215,13.0,8,76,1,between 3724 and 4076,between 295 and 333,between 13 and 14,between 135 and 153
216,31.5,4,77,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 63 and 81
217,30.0,4,77,1,between 1964 and 2316,between 105 and 143,between 14 and 15,between 63 and 81
218,36.0,4,77,2,between 1612 and 1964,between 67 and 105,between 18 and 19,between 45 and 63
219,25.5,4,77,1,between 1964 and 2316,between 105 and 143,between 15 and 16,between 81 and 99
220,33.5,4,77,3,between 1612 and 1964,between 67 and 105,between 16 and 17,between 63 and 81
221,17.5,8,77,1,between 3724 and 4076,between 295 and 333,between 12 and 13,between 135 and 153
222,17.0,8,77,1,between 3724 and 4076,between 257 and 295,between 18 and 19,between 99 and 117
223,15.5,8,77,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 135 and 153
224,15.0,8,77,1,between 4076 and 4428,between 295 and 333,between 14 and 15,between 117 and 135
225,17.5,6,77,1,between 3372 and 3724,between 219 and 257,between 16 and 17,between 99 and 117
226,20.5,6,77,1,between 3372 and 3724,between 219 and 257,between 16 and 17,between 99 and 117
227,19.0,6,77,1,between 3372 and 3724,between 219 and 257,between 17 and 18,between 99 and 117
228,18.5,6,77,1,between 3372 and 3724,between 219 and 257,between 18 and 19,between 81 and 99
229,16.0,8,77,1,between 4076 and 4428,between 371 and 409,between 11 and 12,between 171 and 189
230,15.5,8,77,1,between 4076 and 4428,between 333 and 371,between 11 and 12,between 153 and 171
231,15.5,8,77,1,between 4076 and 4428,between 371 and 409,between 12 and 13,between 189 and 207
232,16.0,8,77,1,between 4076 and 4428,between 333 and 371,between 14 and 15,between 135 and 153
233,29.0,4,77,2,between 1612 and 1964,between 67 and 105,between 14 and 15,between 63 and 81
234,24.5,4,77,1,between 2668 and 3020,between 143 and 181,between 15 and 16,between 81 and 99
235,26.0,4,77,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 63 and 81
236,25.5,4,77,1,between 2668 and 3020,between 105 and 143,between 15 and 16,between 81 and 99
237,30.5,4,77,1,between 1964 and 2316,between 67 and 105,between 16 and 17,between 45 and 63
238,33.5,4,77,1,between 1964 and 2316,between 67 and 105,between 15 and 16,between 81 and 99
239,30.0,4,77,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
240,30.5,4,77,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
241,22.0,6,77,3,between 2668 and 3020,between 143 and 181,between 14 and 15,between 81 and 99
242,21.5,4,77,2,between 2316 and 2668,between 105 and 143,between 12 and 13,between 99 and 117
243,21.5,3,77,3,between 2668 and 3020,between 67 and 105,between 13 and 14,between 99 and 117
244,43.1,4,78,2,between 1964 and 2316,between 67 and 105,between 21 and 22,between 45 and 63
245,36.1,4,78,1,between 1612 and 1964,between 67 and 105,between 14 and 15,between 63 and 81
246,32.8,4,78,3,between 1964 and 2316,between 67 and 105,between 19 and 20,between 45 and 63
247,39.4,4,78,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 63 and 81
248,36.1,4,78,3,between 1612 and 1964,between 67 and 105,between 16 and 17,between 45 and 63
249,19.9,8,78,1,between 3020 and 3372,between 257 and 295,between 15 and 16,between 99 and 117
250,19.4,8,78,1,between 3724 and 4076,between 295 and 333,between 13 and 14,between 135 and 153
251,20.2,8,78,1,between 3372 and 3724,between 295 and 333,between 12 and 13,between 135 and 153
252,19.2,6,78,1,between 3372 and 3724,between 219 and 257,between 19 and 20,between 99 and 117
253,20.5,6,78,1,between 3020 and 3372,between 181 and 219,between 18 and 19,between 81 and 99
254,20.2,6,78,1,between 2668 and 3020,between 181 and 219,between 15 and 16,between 81 and 99
255,25.1,4,78,1,between 2668 and 3020,between 105 and 143,between 15 and 16,between 81 and 99
256,20.5,6,78,1,between 3372 and 3724,between 219 and 257,between 17 and 18,between 99 and 117
257,19.4,6,78,1,between 3020 and 3372,between 219 and 257,between 17 and 18,between 81 and 99
258,20.6,6,78,1,between 3372 and 3724,between 219 and 257,between 15 and 16,between 99 and 117
259,20.8,6,78,1,between 3020 and 3372,between 181 and 219,between 16 and 17,between 81 and 99
260,18.6,6,78,1,between 3372 and 3724,between 219 and 257,between 18 and 19,between 99 and 117
261,18.1,6,78,1,between 3372 and 3724,between 257 and 295,between 15 and 16,between 117 and 135
262,19.2,8,78,1,between 3372 and 3724,between 295 and 333,between 13 and 14,between 135 and 153
263,17.7,6,78,1,between 3372 and 3724,between 219 and 257,between 13 and 14,between 153 and 171
264,18.1,8,78,1,between 3020 and 3372,between 295 and 333,between 11 and 12,between 135 and 153
265,17.5,8,78,1,between 4076 and 4428,between 295 and 333,between 13 and 14,between 135 and 153
266,30.0,4,78,1,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
267,27.5,4,78,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
268,27.2,4,78,3,between 1964 and 2316,between 105 and 143,between 14 and 15,between 81 and 99
269,30.9,4,78,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
270,21.1,4,78,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
271,23.2,4,78,1,between 2668 and 3020,between 143 and 181,between 16 and 17,between 99 and 117
272,23.8,4,78,1,between 2668 and 3020,between 143 and 181,between 17 and 18,between 81 and 99
273,23.9,4,78,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
274,20.3,5,78,2,between 2668 and 3020,between 105 and 143,between 15 and 16,between 99 and 117
275,17.0,6,78,2,between 3020 and 3372,between 143 and 181,between 13 and 14,between 117 and 135
276,21.6,4,78,2,between 2668 and 3020,between 105 and 143,between 15 and 16,between 99 and 117
277,16.2,6,78,2,between 3372 and 3724,between 143 and 181,between 15 and 16,between 117 and 135
278,31.5,4,78,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
279,29.5,4,78,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
280,21.5,6,79,1,between 3020 and 3372,between 219 and 257,between 15 and 16,between 99 and 117
281,19.8,6,79,1,between 2668 and 3020,between 181 and 219,between 18 and 19,between 81 and 99
282,22.3,4,79,1,between 2668 and 3020,between 105 and 143,between 17 and 18,between 81 and 99
283,20.2,6,79,1,between 3020 and 3372,between 219 and 257,between 18 and 19,between 81 and 99
284,20.6,6,79,1,between 3020 and 3372,between 219 and 257,between 16 and 17,between 99 and 117
285,17.0,8,79,1,between 3724 and 4076,between 295 and 333,between 15 and 16,between 117 and 135
286,17.6,8,79,1,between 3724 and 4076,between 295 and 333,between 13 and 14,between 117 and 135
287,16.5,8,79,1,between 3724 and 4076,between 333 and 371,between 13 and 14,between 135 and 153
288,18.2,8,79,1,between 3724 and 4076,between 295 and 333,between 15 and 16,between 117 and 135
289,16.9,8,79,1,between 4076 and 4428,between 333 and 371,between 14 and 15,between 153 and 171
290,15.5,8,79,1,between 3724 and 4076,between 333 and 371,between 14 and 15,between 135 and 153
291,19.2,8,79,1,between 3372 and 3724,between 257 and 295,between 14 and 15,between 117 and 135
292,18.5,8,79,1,between 3724 and 4076,between 333 and 371,between 12 and 13,between 135 and 153
293,31.9,4,79,2,between 1612 and 1964,between 67 and 105,between 13 and 14,between 63 and 81
294,34.1,4,79,3,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
295,35.7,4,79,1,between 1612 and 1964,between 67 and 105,between 14 and 15,between 63 and 81
296,27.4,4,79,1,between 2668 and 3020,between 105 and 143,between 14 and 15,between 63 and 81
297,25.4,5,79,2,between 3372 and 3724,between 181 and 219,between 20 and 21,between 63 and 81
298,23.0,8,79,1,between 3724 and 4076,between 333 and 371,between 17 and 18,between 117 and 135
299,27.2,4,79,2,between 3020 and 3372,between 105 and 143,between 23 and 25,between 63 and 81
300,23.9,8,79,1,between 3372 and 3724,between 257 and 295,between 22 and 23,between 81 and 99
301,34.2,4,79,1,between 1964 and 2316,between 67 and 105,between 13 and 14,between 63 and 81
